route,component,answer_text,next_or_outcome
/exemption/construction/maintenance/pontoons/undertaker,Radio,A harbour authority or someone on behalf of a harbour authority,/exemption/construction/maintenance/pontoons/deck
/exemption/construction/maintenance/pontoons/undertaker,Radio,Someone else,/exemption/construction/maintenance/pontoons/consent
/exemption/construction/maintenance/pontoons/consent,Radio,Yes,/exemption/construction/maintenance/pontoons/approval
/exemption/construction/maintenance/pontoons/consent,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/pontoons/approval,Radio,Yes,/exemption/construction/maintenance/pontoons/deck
/exemption/construction/maintenance/pontoons/approval,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/pontoons/deck,Radio,Yes,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/pontoons/deck,Radio,No,/exemption/construction/maintenance/pontoons/quantity
/exemption/construction/maintenance/pontoons/quantity,Radio,Yes,/exemption/licence-not-required-exemption-available-article-25A-mmo-approval
/exemption/construction/maintenance/pontoons/quantity,Radio,No,/exemption/licence-not-required-exemption-available-article-25A
/exemption/construction/maintenance/harbour-works,Radio,Yes,/exemption/construction/maintenance/harbour-works/undertaker
/exemption/construction/maintenance/harbour-works,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/harbour-works/undertaker,Radio,A harbour authority or someone on behalf of a harbour authority,/exemption/licence-not-required-exemption-available-article-23
/exemption/construction/maintenance/harbour-works/undertaker,Radio,Someone else,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/cables,Radio,The transfer of data,/exemption/construction/maintenance/cables/location
/exemption/construction/maintenance/cables,Radio,The transfer of electricity,/exemption/construction/maintenance/cables/location
/exemption/construction/maintenance/cables,Radio,Renewable energy export,/exemption/construction/maintenance/cables/inspection-repair
/exemption/construction/maintenance/cables,Radio,Other,/exemption/construction/maintenance/cables/inspection-repair
/exemption/construction/maintenance/cables/location,Radio,Wholly inside 12NM,/exemption/construction/maintenance/cables/inspection-repair
/exemption/construction/maintenance/cables/location,Radio,Wholly outside 12NM,/exemption/licence-not-required-cables/maintenance
/exemption/construction/maintenance/cables/location,Radio,Part inside 12NM part outside 12NM,/exemption/licence-not-required-cables/maintenance/both
/exemption/construction/maintenance/cables/inspection-repair,Radio,Yes,/exemption/construction/maintenance/cables/emergency
/exemption/construction/maintenance/cables/inspection-repair,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/cables/emergency,Radio,Yes,/exemption/construction/maintenance/cables/protection
/exemption/construction/maintenance/cables/emergency,Radio,No,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/cables/protection,Radio,Yes,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/cables/protection,Radio,No,/exemption/construction/maintenance/cables/explosives
/exemption/construction/maintenance/cables/explosives,Radio,Yes,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/cables/explosives,Radio,No,/exemption/licence-not-required-exemption-available-article-34
/exemption/construction/maintenance/coastal-drainage-flood,Radio,The Environment Agency or someone on behalf of the Environment Agency,/exemption/construction/maintenance/coastal-drainage-flood/EA
/exemption/construction/maintenance/coastal-drainage-flood,Radio,The Coast Protection Authority or someone on behalf of the Coast Protection Authority,/exemption/construction/maintenance/coastal-drainage-flood/CPA
/exemption/construction/maintenance/coastal-drainage-flood,Radio,The Local Authority or someone on behalf of the Local Authority,/exemption/construction/maintenance/coastal-drainage-flood/CPA
/exemption/construction/maintenance/coastal-drainage-flood,Radio,The Secretary of State for Defence or someone on behalf of the Secretary of State for Defence,/exemption/construction/maintenance/coastal-drainage-flood/CPA
/exemption/construction/maintenance/coastal-drainage-flood,Radio,Other,/exemption/construction-exe-not-available-continue
/exemption/construction/maintenance/coastal-drainage-flood/EA,Radio,Yes,/exemption/construction/maintenance/coastal-drainage-flood/EA/beach-replenishment
/exemption/construction/maintenance/coastal-drainage-flood/EA,Radio,No,/exemption/construction/maintenance/coastal-drainage-flood/EA/emergency
/exemption/construction/maintenance/coastal-drainage-flood/EA/beach-replenishment,Radio,Yes,/exemption/construction-exe-not-available-continue
